2023-10-02-09:30:00,ERROR-1
2023-10-09-15:10:28,366.900
2023-10-09-15:15:28,366.640
2023-10-09-15:20:29,366.450
2023-10-09-15:25:29,366.510
2023-10-09-15:30:30,366.605
2023-10-09-15:35:31,366.360
2023-10-09-15:40:31,366.420
2023-10-09-15:45:32,366.160
2023-10-09-15:50:32,366.290
2023-10-09-15:55:33,366.503
2023-10-09-16:00:33,366.560
2023-10-10-09:30:00,366.560
2023-10-10-09:35:00,366.920
2023-10-10-09:40:01,366.730
2023-10-10-09:45:02,367.060
2023-10-10-09:50:02,366.900
2023-10-10-09:55:03,367.390
2023-10-10-10:00:03,367.910
2023-10-10-10:05:04,368.400
2023-10-10-10:10:05,367.988
2023-10-10-10:15:05,368.450
2023-10-10-10:20:06,368.640
2023-10-10-10:25:07,368.670
2023-10-10-10:30:07,369.210
2023-10-10-10:35:08,369.560
2023-10-10-10:40:08,369.510
2023-10-10-10:45:09,369.610
2023-10-10-10:50:09,369.570
2023-10-10-10:55:10,369.533
2023-10-10-11:00:11,369.670
2023-10-10-11:05:11,369.950
2023-10-10-11:10:12,369.960
2023-10-10-11:15:12,370.190
2023-10-10-11:20:13,370.579
2023-10-10-11:25:14,370.550
2023-10-10-11:30:14,370.480
2023-10-10-11:35:15,370.870
2023-10-10-11:40:15,370.720
2023-10-10-11:45:16,371.020
2023-10-10-11:50:17,370.990
2023-10-10-11:55:17,371.100
2023-10-10-12:00:18,371.010
2023-10-10-12:05:19,370.830
2023-10-10-12:10:19,370.950
2023-10-10-12:15:20,370.949
2023-10-10-12:20:20,370.940
2023-10-10-12:25:21,370.660
2023-10-10-12:30:22,370.960
2023-10-10-12:35:22,370.870
2023-10-10-12:40:23,370.840
2023-10-10-12:45:23,370.780
2023-10-10-12:50:24,370.680
2023-10-10-12:55:25,370.890
2023-10-10-13:00:25,370.620
2023-10-10-13:05:26,368.960
2023-10-10-13:10:26,369.050
2023-10-10-13:15:27,368.270
2023-10-10-13:20:28,368.697
2023-10-10-13:25:28,368.720
2023-10-10-13:30:29,369.030
2023-10-10-13:35:29,368.990
2023-10-10-13:40:30,369.060
2023-10-10-13:45:30,369.310
2023-10-10-13:50:31,369.150
2023-10-10-13:55:32,369.230
2023-10-10-14:00:32,369.050
2023-10-10-14:05:33,369.185
2023-10-10-14:10:34,368.850
2023-10-10-14:15:34,368.720
2023-10-10-14:20:35,369.210
2023-10-10-14:25:35,368.441
2023-10-10-14:30:36,368.780
2023-10-10-14:35:36,369.090
2023-10-10-14:40:37,368.719
2023-10-10-14:45:37,369.080
2023-10-10-14:50:38,368.950
2023-10-10-14:55:39,368.480
2023-10-10-15:00:39,368.703
2023-10-10-15:05:40,368.820
2023-10-10-15:10:40,369.063
2023-10-10-15:15:41,368.949
2023-10-10-15:20:42,368.850
2023-10-10-15:25:42,369.094
2023-10-10-15:30:43,369.050
2023-10-10-15:35:43,368.991
2023-10-10-15:40:44,369.160
2023-10-10-15:45:45,369.070
2023-10-10-15:50:45,368.970
2023-10-10-15:55:46,368.820
2023-10-10-16:00:46,368.590
2023-10-11-09:30:00,368.590
2023-10-11-09:35:00,370.931
2023-10-11-09:40:01,371.060
2023-10-11-09:45:02,370.277
2023-10-11-09:50:02,370.370
2023-10-11-09:55:03,370.200
2023-10-11-10:00:04,370.020
2023-10-11-10:05:04,369.550
2023-10-11-10:10:05,369.910
2023-10-11-10:15:06,369.500
2023-10-11-10:20:07,369.540
2023-10-11-10:25:07,370.030
2023-10-11-10:30:08,369.690
2023-10-11-10:35:08,369.981
2023-10-11-10:40:09,370.290
2023-10-11-10:45:09,369.995
2023-10-11-10:50:10,370.080
2023-10-11-10:55:10,370.610
2023-10-11-11:00:11,370.800
2023-10-11-11:05:12,370.740
2023-10-11-11:10:12,371.055
2023-10-11-11:15:13,370.990
2023-10-11-11:20:14,369.950
2023-10-11-11:25:14,370.170
2023-10-11-11:30:15,369.620
2023-10-11-11:35:15,369.830
2023-10-11-11:40:16,369.560
2023-10-11-11:45:17,369.360
2023-10-11-11:50:17,369.640
2023-10-11-11:55:18,369.715
2023-10-11-12:00:18,369.620
2023-10-11-12:05:19,369.300
2023-10-11-12:10:19,369.430
2023-10-11-12:15:20,369.130
2023-10-11-12:20:20,368.980
2023-10-11-12:25:21,369.170
2023-10-11-12:30:22,369.280
2023-10-11-12:35:22,369.270
2023-10-11-12:40:23,369.405
2023-10-11-12:45:23,369.260
2023-10-11-12:50:24,369.260
2023-10-11-12:55:25,368.886
2023-10-11-13:00:26,369.445
2023-10-11-13:05:26,369.200
2023-10-11-13:10:27,369.369
2023-10-11-13:15:27,369.400
2023-10-11-13:20:28,368.536
2023-10-11-13:25:29,368.790
2023-10-11-13:30:29,368.830
2023-10-11-13:35:30,368.460
2023-10-11-13:40:30,368.340
2023-10-11-13:45:31,368.550
2023-10-11-13:50:32,368.360
2023-10-11-13:55:32,368.660
2023-10-11-14:00:33,369.120
2023-10-11-14:05:34,368.990
2023-10-11-14:10:34,369.015
2023-10-11-14:15:35,369.180
2023-10-11-14:20:35,369.340
2023-10-11-14:25:36,370.040
2023-10-11-14:30:37,369.550
2023-10-11-14:35:37,369.780
2023-10-11-14:40:38,369.670
2023-10-11-14:45:38,369.970
2023-10-11-14:50:39,369.930
2023-10-11-14:55:39,370.182
2023-10-11-15:00:40,369.910
2023-10-11-15:05:41,369.976
2023-10-11-15:10:41,370.045
2023-10-11-15:15:42,369.820
2023-10-11-15:20:42,369.860
2023-10-11-15:25:43,370.082
2023-10-11-15:30:43,370.280
2023-10-11-15:35:44,370.210
2023-10-11-15:40:45,370.700
2023-10-11-15:45:45,370.815
2023-10-11-15:50:46,370.881
2023-10-11-15:55:46,371.060
2023-10-11-16:00:47,371.220
2023-10-12-09:30:00,371.220
2023-10-12-09:35:00,371.650
2023-10-12-09:40:01,371.796
2023-10-12-09:45:02,371.400
2023-10-12-09:50:02,371.170
2023-10-12-09:55:03,371.172
2023-10-12-10:00:03,371.610
2023-10-12-10:05:04,371.870
2023-10-12-10:10:05,372.460
2023-10-12-10:15:05,373.090
2023-10-12-10:20:06,372.494
2023-10-12-10:25:06,372.645
2023-10-12-10:30:07,372.250
2023-10-12-10:35:08,372.515
2023-10-12-10:40:08,372.480
2023-10-12-10:45:09,371.970
2023-10-12-10:50:09,372.530
2023-10-12-10:55:10,372.360
2023-10-12-11:00:10,372.490
2023-10-12-11:05:11,372.341
2023-10-12-11:10:12,372.604
2023-10-12-11:15:12,373.110
2023-10-12-11:20:13,373.240
2023-10-12-11:25:13,372.850
2023-10-12-11:30:14,372.340
2023-10-12-11:35:15,372.390
2023-10-12-11:40:15,372.580
2023-10-12-11:45:16,372.680
2023-10-12-11:50:16,372.470
2023-10-12-11:55:17,372.880
2023-10-12-12:00:18,372.990
2023-10-12-12:05:18,372.865
2023-10-12-12:10:19,372.970
2023-10-12-12:15:19,372.800
2023-10-12-12:20:20,373.070
2023-10-12-12:25:21,373.240
2023-10-12-12:30:21,373.390
2023-10-12-12:35:22,373.210
2023-10-12-12:40:22,373.299
2023-10-12-12:45:23,373.220
2023-10-12-12:50:24,372.810
2023-10-12-12:55:24,373.070
2023-10-12-13:00:25,372.710
2023-10-12-13:05:25,371.550
2023-10-12-13:10:26,370.980
2023-10-12-13:15:27,370.185
2023-10-12-13:20:27,370.260
2023-10-12-13:25:28,369.969
2023-10-12-13:30:28,369.650
2023-10-12-13:35:29,369.680
2023-10-12-13:40:29,369.530
2023-10-12-13:45:30,369.480
2023-10-12-13:50:31,369.470
2023-10-12-13:55:31,369.425
2023-10-12-14:00:32,369.070
2023-10-12-14:05:32,368.725
2023-10-12-14:10:33,367.740
2023-10-12-14:15:34,367.900
2023-10-12-14:20:34,367.899
2023-10-12-14:25:35,368.510
2023-10-12-14:30:35,368.660
2023-10-12-14:35:36,369.090
2023-10-12-14:40:37,368.960
2023-10-12-14:45:37,368.940
2023-10-12-14:50:38,369.350
2023-10-12-14:55:38,369.171
2023-10-12-15:00:39,369.310
2023-10-12-15:05:55,369.170
2023-10-12-15:10:55,369.040
2023-10-12-15:15:56,369.490
2023-10-12-15:20:56,369.840
2023-10-12-15:25:57,369.510
2023-10-12-15:30:58,369.730
2023-10-12-15:35:58,370.000
2023-10-12-15:40:59,370.020
2023-10-12-15:45:59,369.890
2023-10-12-15:51:00,370.264
2023-10-12-15:56:00,369.900
2023-10-13-09:30:00,369.930
2023-10-13-09:35:00,370.340
2023-10-13-09:40:01,370.570
2023-10-13-09:45:02,370.230
2023-10-13-09:50:02,370.590
2023-10-13-09:55:03,370.570
2023-10-13-10:00:03,370.320
2023-10-13-10:05:04,369.930
2023-10-13-10:10:05,369.840
2023-10-13-10:15:05,369.400
2023-10-13-10:20:06,369.310
2023-10-13-10:25:06,368.869
2023-10-13-10:30:07,368.890
2023-10-13-10:35:08,369.340
2023-10-13-10:40:08,368.950
2023-10-13-10:45:09,368.920
2023-10-13-10:50:09,368.390
2023-10-13-10:55:10,367.260
2023-10-13-11:00:10,367.209
2023-10-13-11:05:11,367.002
2023-10-13-11:10:12,367.090
2023-10-13-11:15:12,366.870
2023-10-13-11:20:13,366.820
2023-10-13-11:25:13,366.110
2023-10-13-11:30:14,366.060
2023-10-13-11:35:15,366.430
2023-10-13-11:40:15,366.470
2023-10-13-11:45:16,366.150
2023-10-13-11:50:16,366.000
2023-10-13-11:55:17,365.300
2023-10-13-12:00:18,365.170
2023-10-13-12:05:18,365.380
2023-10-13-12:10:19,365.540
2023-10-13-12:15:19,365.388
2023-10-13-12:20:20,366.129
2023-10-13-12:25:21,366.480
2023-10-13-12:30:21,366.710
2023-10-13-12:35:22,367.010
2023-10-13-12:40:22,366.770
2023-10-13-12:45:23,366.885
2023-10-13-12:50:24,366.501
2023-10-13-12:55:24,366.250
2023-10-13-13:00:25,366.280
2023-10-13-13:05:25,365.930
2023-10-13-13:10:26,365.520
2023-10-13-13:15:27,365.242
2023-10-13-13:20:27,365.270
2023-10-13-13:25:28,365.120
2023-10-13-13:30:29,364.234
2023-10-13-13:35:29,364.279
2023-10-13-13:40:30,364.242
2023-10-13-13:45:30,365.170
2023-10-13-13:50:31,365.250
2023-10-13-13:55:32,365.280
2023-10-13-14:00:32,365.200
2023-10-13-14:05:33,365.370
2023-10-13-14:10:33,365.050
2023-10-13-14:15:34,364.900
2023-10-13-14:20:35,365.020
2023-10-13-14:25:35,364.750
2023-10-13-14:30:36,365.315
2023-10-13-14:35:36,365.640
2023-10-13-14:40:37,365.243
2023-10-13-14:45:38,365.020
2023-10-13-14:50:38,365.150
2023-10-13-14:55:39,365.300
2023-10-13-15:00:40,365.435
2023-10-13-15:05:40,365.640
2023-10-13-15:10:41,365.645
2023-10-13-15:15:41,365.635
2023-10-13-15:20:42,365.438
2023-10-13-15:25:43,365.250
2023-10-13-15:30:43,365.180
2023-10-13-15:35:44,365.070
2023-10-13-15:40:45,364.970
2023-10-13-15:45:45,364.690
2023-10-13-15:50:46,365.060
2023-10-13-15:55:46,365.100
2023-10-13-16:00:47,365.280
2023-10-16-09:30:00,ERROR-1
2023-10-16-09:35:00,367.950
2023-10-16-09:40:01,368.090
2023-10-16-09:45:01,367.230
2023-10-16-09:50:02,367.000
2023-10-16-09:55:03,367.170
2023-10-16-10:00:04,367.990
2023-10-16-10:05:04,367.740
2023-10-16-10:10:05,368.230
2023-10-16-10:15:05,368.565
2023-10-16-10:20:06,368.770
2023-10-16-10:25:06,369.215
2023-10-16-10:30:07,369.520
2023-10-16-10:35:08,369.759
2023-10-16-10:40:08,369.770
2023-10-16-10:45:09,369.790
2023-10-16-10:50:09,369.720
2023-10-16-10:55:10,369.410
2023-10-16-11:00:10,369.980
2023-10-16-11:05:11,369.610
2023-10-16-11:10:12,369.960
2023-10-16-11:15:12,369.790
2023-10-16-11:20:13,369.110
2023-10-16-11:25:13,369.200
2023-10-16-11:30:14,369.750
2023-10-16-11:35:15,369.820
