2024-04-01-09:30:00,ERROR-1
2024-04-09-11:25:13,474.480
2024-04-09-11:30:14,474.230
2024-04-09-11:35:14,473.990
2024-04-09-11:40:15,474.250
2024-04-09-11:45:15,474.990
2024-04-09-11:50:16,475.140
2024-04-09-11:55:17,475.110
2024-04-09-12:00:17,475.030
2024-04-09-12:05:18,475.210
2024-04-09-12:10:18,475.245
2024-04-09-12:15:19,475.580
2024-04-09-12:20:19,475.520
2024-04-09-12:25:20,475.520
2024-04-09-12:30:20,475.470
2024-04-09-12:35:21,475.789
2024-04-09-12:40:21,475.780
2024-04-09-12:45:22,475.710
2024-04-09-12:50:23,475.620
2024-04-09-12:55:23,474.902
2024-04-09-13:00:23,474.940
2024-04-09-13:05:24,475.305
2024-04-09-13:10:25,475.540
2024-04-09-13:15:25,475.350
2024-04-09-13:20:26,475.360
2024-04-09-13:25:26,475.440
2024-04-09-13:30:27,475.350
2024-04-09-13:35:27,475.380
2024-04-09-13:40:28,475.672
2024-04-09-13:45:28,475.160
2024-04-09-13:50:29,475.100
2024-04-09-13:55:29,475.060
2024-04-09-14:00:30,474.813
2024-04-09-14:05:31,474.900
2024-04-09-14:10:31,475.160
2024-04-09-14:15:32,475.080
2024-04-09-14:20:32,475.220
2024-04-09-14:25:33,475.090
2024-04-09-14:30:33,474.880
2024-04-09-14:35:34,475.010
2024-04-09-14:40:34,474.770
2024-04-09-14:45:35,474.709
2024-04-09-14:50:36,474.600
2024-04-09-14:55:36,474.760
2024-04-09-15:00:37,474.510
2024-04-09-15:05:37,474.550
2024-04-09-15:10:38,474.040
2024-04-09-15:15:38,474.295
2024-04-09-15:20:39,474.970
2024-04-09-15:25:40,475.700
2024-04-09-15:30:40,476.440
2024-04-09-15:35:41,476.505
2024-04-09-15:40:41,476.030
2024-04-09-15:45:42,476.169
2024-04-09-15:50:42,475.930
2024-04-09-15:55:43,476.570
2024-04-09-16:00:44,477.240
2024-04-10-09:30:00,477.270
2024-04-10-09:35:01,471.780
2024-04-10-09:40:01,471.830
2024-04-10-09:45:02,472.440
2024-04-10-09:50:02,471.350
2024-04-10-09:55:03,472.360
2024-04-10-10:00:03,472.240
2024-04-10-10:05:04,472.090
2024-04-10-10:10:04,472.840
2024-04-10-10:15:05,472.580
2024-04-10-10:20:05,473.130
2024-04-10-10:25:06,473.060
2024-04-10-10:30:06,473.020
2024-04-10-10:35:07,473.710
2024-04-10-10:40:07,474.220
2024-04-10-10:45:08,473.630
2024-04-10-10:50:08,473.422
2024-04-10-10:55:09,472.850
2024-04-10-11:00:10,472.810
2024-04-10-11:05:10,472.370
2024-04-10-11:10:11,472.370
2024-04-10-11:15:12,472.300
2024-04-10-11:20:12,472.110
2024-04-10-11:25:13,472.310
2024-04-10-11:30:14,472.820
2024-04-10-11:35:14,472.335
2024-04-10-11:40:15,471.910
2024-04-10-11:45:15,471.580
2024-04-10-11:50:16,471.740
2024-04-10-11:55:17,471.730
2024-04-10-12:00:17,471.877
2024-04-10-12:05:18,472.210
2024-04-10-12:10:18,471.900
2024-04-10-12:15:19,471.580
2024-04-10-12:20:19,471.710
2024-04-10-12:25:20,471.790
2024-04-10-12:30:20,471.880
2024-04-10-12:35:21,471.950
2024-04-10-12:40:22,472.000
2024-04-10-12:45:22,471.890
2024-04-10-12:50:23,472.120
2024-04-10-12:55:23,472.470
2024-04-10-13:00:24,472.670
2024-04-10-13:05:24,471.145
2024-04-10-13:10:25,470.715
2024-04-10-13:15:26,471.170
2024-04-10-13:20:26,471.940
2024-04-10-13:25:27,473.090
2024-04-10-13:30:27,472.400
2024-04-10-13:35:28,471.499
2024-04-10-13:40:28,471.150
2024-04-10-13:45:29,471.070
2024-04-10-13:50:29,471.703
2024-04-10-13:55:30,471.659
2024-04-10-14:00:30,472.400
2024-04-10-14:05:31,472.440
2024-04-10-14:10:31,472.375
2024-04-10-14:15:32,472.850
2024-04-10-14:20:33,472.500
2024-04-10-14:25:33,471.720
2024-04-10-14:30:34,471.740
2024-04-10-14:35:34,471.730
2024-04-10-14:40:35,472.322
2024-04-10-14:45:35,472.390
2024-04-10-14:50:36,472.390
2024-04-10-14:55:36,471.810
2024-04-10-15:00:37,471.270
2024-04-10-15:05:38,471.160
2024-04-10-15:10:39,471.790
2024-04-10-15:15:40,472.710
2024-04-10-15:20:40,473.080
2024-04-10-15:25:41,473.070
2024-04-10-15:30:41,472.430
2024-04-10-15:35:42,472.040
2024-04-10-15:40:42,472.290
2024-04-10-15:45:43,472.950
2024-04-10-15:50:44,472.730
2024-04-10-15:55:44,473.060
2024-04-10-16:00:45,472.590
2024-04-11-09:30:00,472.650
2024-04-11-09:35:01,473.720
2024-04-11-09:40:01,472.900
2024-04-11-09:45:02,472.890
2024-04-11-09:50:02,472.900
2024-04-11-09:55:03,473.090
2024-04-11-10:00:04,472.920
2024-04-11-10:05:04,472.250
2024-04-11-10:10:05,471.790
2024-04-11-10:15:05,471.580
2024-04-11-10:20:06,470.910
2024-04-11-10:25:06,471.450
2024-04-11-10:30:07,471.180
2024-04-11-10:35:07,471.420
2024-04-11-10:40:08,471.850
2024-04-11-10:45:09,472.030
2024-04-11-10:50:09,472.040
2024-04-11-10:55:10,472.050
2024-04-11-11:00:10,471.671
2024-04-11-11:05:11,472.100
2024-04-11-11:10:11,471.890
2024-04-11-11:15:12,472.115
2024-04-11-11:20:13,472.186
2024-04-11-11:25:13,472.260
2024-04-11-11:30:14,472.035
2024-04-11-11:35:14,472.210
2024-04-11-11:40:15,472.621
2024-04-11-11:45:16,472.410
2024-04-11-11:50:16,472.730
2024-04-11-11:55:17,472.920
2024-04-11-12:00:17,473.560
2024-04-11-12:05:18,473.420
2024-04-11-12:10:18,473.380
2024-04-11-12:15:19,473.405
2024-04-11-12:20:19,473.490
2024-04-11-12:25:20,473.782
2024-04-11-12:30:21,473.111
2024-04-11-12:35:21,473.375
2024-04-11-12:40:22,473.341
2024-04-11-12:45:22,473.510
2024-04-11-12:50:23,473.800
2024-04-11-12:55:23,473.680
2024-04-11-13:00:24,473.720
2024-04-11-13:05:25,474.480
2024-04-11-13:10:25,474.865
2024-04-11-13:15:26,475.180
2024-04-11-13:20:27,475.890
2024-04-11-13:25:27,475.845
2024-04-11-13:30:28,475.730
2024-04-11-13:35:28,475.630
2024-04-11-13:40:29,475.400
2024-04-11-13:45:29,475.844
2024-04-11-13:50:30,475.960
2024-04-11-13:55:31,476.070
2024-04-11-14:00:31,476.120
2024-04-11-14:05:32,476.530
2024-04-11-14:10:32,476.900
2024-04-11-14:15:33,476.861
2024-04-11-14:20:33,476.730
2024-04-11-14:25:34,476.970
2024-04-11-14:30:34,477.170
2024-04-11-14:35:35,477.270
2024-04-11-14:40:35,477.380
2024-04-11-14:45:36,477.290
2024-04-11-14:50:36,476.990
2024-04-11-14:55:37,476.940
2024-04-11-15:00:37,476.970
2024-04-11-15:05:38,477.020
2024-04-11-15:10:38,477.101
2024-04-11-15:15:39,476.690
2024-04-11-15:20:39,476.620
2024-04-11-15:25:40,477.000
2024-04-11-15:30:40,476.970
2024-04-11-15:35:41,476.910
2024-04-11-15:40:41,477.096
2024-04-11-15:45:42,477.320
2024-04-11-15:50:42,476.670
2024-04-11-15:55:43,476.640
2024-04-11-16:00:43,476.100
2024-04-12-09:30:00,476.060
2024-04-12-09:35:01,473.252
2024-04-12-09:40:01,473.480
2024-04-12-09:45:02,473.478
2024-04-12-09:50:02,473.660
2024-04-12-09:55:03,473.360
2024-04-12-10:00:03,473.060
2024-04-12-10:05:04,473.108
2024-04-12-10:10:04,472.435
2024-04-12-10:15:05,472.618
2024-04-12-10:20:06,472.700
2024-04-12-10:25:06,472.640
2024-04-12-10:30:07,472.200
2024-04-12-10:35:07,472.080
2024-04-12-10:40:08,471.485
2024-04-12-10:45:08,471.350
2024-04-12-10:50:09,471.060
2024-04-12-10:55:09,471.180
2024-04-12-11:00:10,470.920
2024-04-12-11:05:10,471.430
2024-04-12-11:10:11,471.025
2024-04-12-11:15:11,471.300
2024-04-12-11:20:12,471.740
2024-04-12-11:25:12,471.490
2024-04-12-11:30:13,471.960
2024-04-12-11:35:13,472.220
2024-04-12-11:40:14,471.940
2024-04-12-11:45:14,471.940
2024-04-12-11:50:15,472.305
2024-04-12-11:55:15,471.960
2024-04-12-12:00:16,471.900
2024-04-12-12:05:16,471.700
2024-04-12-12:10:17,471.630
2024-04-12-12:15:18,471.310
2024-04-12-12:20:18,470.500
2024-04-12-12:25:19,471.010
2024-04-12-12:30:19,470.450
2024-04-12-12:35:20,470.200
2024-04-12-12:40:20,469.670
2024-04-12-12:45:21,469.420
2024-04-12-12:50:21,469.340
2024-04-12-12:55:22,469.510
2024-04-12-13:00:22,469.330
2024-04-12-13:05:23,469.290
2024-04-12-13:10:23,469.220
2024-04-12-13:15:24,469.520
2024-04-12-13:20:25,469.000
2024-04-12-13:25:25,468.700
2024-04-12-13:30:26,468.318
2024-04-12-13:35:26,468.310
2024-04-12-13:40:27,468.582
2024-04-12-13:45:27,469.134
2024-04-12-13:50:28,469.680
2024-04-12-13:55:28,469.360
2024-04-12-14:00:29,469.000
2024-04-12-14:05:29,469.240
2024-04-12-14:10:30,469.700
2024-04-12-14:15:30,469.581
2024-04-12-14:20:31,469.710
2024-04-12-14:25:31,469.380
2024-04-12-14:30:32,469.250
2024-04-12-14:35:32,468.960
2024-04-12-14:40:33,468.550
2024-04-12-14:45:33,468.730
2024-04-12-14:50:34,468.620
2024-04-12-14:55:34,468.855
2024-04-12-15:00:35,468.061
2024-04-12-15:05:36,468.332
2024-04-12-15:10:36,468.310
2024-04-12-15:15:37,468.030
2024-04-12-15:20:37,468.550
2024-04-12-15:25:38,468.730
2024-04-12-15:30:38,468.300
2024-04-12-15:35:39,468.480
2024-04-12-15:40:40,468.360
2024-04-12-15:45:40,469.310
2024-04-12-15:50:41,469.170
2024-04-12-15:55:41,469.210
2024-04-12-16:00:42,469.490
2024-04-15-09:30:00,ERROR-1
2024-04-15-09:35:00,472.780
2024-04-15-09:40:01,473.000
2024-04-15-09:45:02,473.400
2024-04-15-09:50:02,473.090
2024-04-15-09:55:02,473.370
2024-04-15-10:00:03,473.230
2024-04-15-10:05:04,472.870
2024-04-15-10:10:04,471.600
2024-04-15-10:15:05,471.067
2024-04-15-10:20:06,471.560
2024-04-15-10:25:06,471.250
2024-04-15-10:30:07,471.027
2024-04-15-10:35:08,470.890
2024-04-15-10:40:08,470.330
2024-04-15-10:45:09,470.578
2024-04-15-10:50:09,470.780
2024-04-15-10:55:10,470.030
2024-04-15-11:00:10,469.830
2024-04-15-11:05:11,469.950
2024-04-15-11:10:11,469.790
2024-04-15-11:15:12,469.915
2024-04-15-11:20:12,469.740
2024-04-15-11:25:13,469.655
2024-04-15-11:30:13,470.225
2024-04-15-11:35:14,470.670
2024-04-15-11:40:14,470.600
2024-04-15-11:45:15,470.475
2024-04-15-11:50:16,470.330
