2024-06-03-09:30:00,ERROR-1
2024-06-14-09:50:03,73.490
2024-06-14-09:55:03,73.521
2024-06-14-10:00:04,73.533
2024-06-14-10:05:04,73.320
2024-06-14-10:10:05,73.330
2024-06-14-10:15:06,73.180
2024-06-14-10:20:06,73.515
2024-06-14-10:25:07,73.710
2024-06-14-10:30:08,73.510
2024-06-14-10:35:08,73.320
2024-06-14-10:40:09,73.008
2024-06-14-10:45:09,73.230
2024-06-14-10:50:10,73.445
2024-06-14-10:55:10,73.550
2024-06-14-11:00:11,73.525
2024-06-14-11:05:12,73.517
2024-06-14-11:10:12,73.320
2024-06-14-11:15:13,73.480
2024-06-14-11:20:13,73.455
2024-06-14-11:25:14,73.420
2024-06-14-11:30:15,73.430
2024-06-14-11:35:15,73.420
2024-06-14-11:40:16,73.340
2024-06-14-11:45:16,73.140
2024-06-14-11:50:17,72.860
2024-06-14-11:55:18,73.235
2024-06-14-12:00:18,73.410
2024-06-14-12:05:19,73.477
2024-06-14-12:10:20,73.515
2024-06-14-12:15:20,73.640
2024-06-14-12:20:21,73.505
2024-06-14-12:25:21,73.461
2024-06-14-12:30:22,73.370
2024-06-14-12:35:23,73.420
2024-06-14-12:40:23,73.530
2024-06-14-12:45:24,73.580
2024-06-14-12:50:24,73.520
2024-06-14-12:55:25,73.482
2024-06-14-13:00:26,73.631
2024-06-14-13:05:26,73.570
2024-06-14-13:10:27,73.725
2024-06-14-13:15:28,73.780
2024-06-14-13:20:28,73.865
2024-06-14-13:25:29,73.848
2024-06-14-13:30:30,73.940
2024-06-14-13:35:30,74.000
2024-06-14-13:40:31,74.025
2024-06-14-13:45:32,73.895
2024-06-14-13:50:32,73.890
2024-06-14-13:55:33,74.005
2024-06-14-14:00:33,73.770
2024-06-14-14:05:34,73.889
2024-06-14-14:10:35,73.750
2024-06-14-14:15:35,73.700
2024-06-14-14:20:36,73.755
2024-06-14-14:25:36,73.980
2024-06-14-14:30:37,73.800
2024-06-14-14:35:38,73.745
2024-06-14-14:40:38,73.690
2024-06-14-14:45:39,73.800
2024-06-14-14:50:39,73.830
2024-06-14-14:55:40,74.006
2024-06-14-15:00:41,73.920
2024-06-14-15:05:41,73.975
2024-06-14-15:10:42,73.995
2024-06-14-15:15:42,73.910
2024-06-14-15:20:43,73.980
2024-06-14-15:25:44,74.060
2024-06-14-15:30:44,73.959
2024-06-14-15:35:45,74.010
2024-06-14-15:40:46,73.950
2024-06-14-15:45:46,73.790
2024-06-14-15:50:47,73.840
2024-06-14-15:55:48,73.850
2024-06-14-16:00:49,74.170
2024-06-17-09:30:00,ERROR-1
2024-06-17-09:35:01,74.070
2024-06-17-09:40:02,74.270
